127.0.0.1 - - [29/Jul/2025:11:18:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:19 +0530] "GET /Practice/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:24 +0530] "GET /Practice/Welcome.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:29 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:29 +0530] "GET /Practice/DoctorListCtl HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:37 +0530] "GET /Practice/patiendListctl?specility=CANCER HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:42 +0530] "GET /Practice/DoctorListCtl HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:43 +0530] "GET /Practice/AddDoctorctl HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:45 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:18:49 +0530] "GET /Practice/AddPatientctl?id=1 HTTP/1.1" 500 1281
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:19:12 +0530] "POST /Practice/AddPatientctl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:19:12 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:19:31 +0530] "POST /Practice/patiendListctl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:19:31 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4398
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:19:36 +0530] "POST /Practice/patiendListctl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:19:36 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4398
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:08 +0530] "GET /Practice/AddPatientctl?id=1 HTTP/1.1" 500 1274
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:16 +0530] "GET /Practice/DoctorListCtl HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:19 +0530] "GET /Practice/patiendListctl?specility=EYE HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:21 +0530] "POST /Practice/patiendListctl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:21 +0530] "GET /Practice/Addpatient.jsp HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:27 +0530] "POST /Practice/patiendListctl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:27 +0530] "GET /Practice/DoctorListCtl HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:20:38 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:21:24 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:21:47 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:22:23 +0530] "GET /Practice/DoctorListCtl HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:22:29 +0530] "GET /Practice/patiendListctl?specility=EYE HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:22:41 +0530] "GET /Practice/patiendListctl?specility=ORTHO HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:22:47 +0530] "GET /Practice/patiendListctl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [29/Jul/2025:11:22:50 +0530] "GET /Practice/DoctorListCtl HTTP/1.1" 200 3777
